Agency Code,Unit Code,Unit Name,Program Code,Program Name,Object Code,Object Name,FY 2023 Budget Book Actuals,FY 2024 Budget Book Working,FY 2025 Governors Allowance
T00,A00,Office of the Secretary,1,Office of the Secretary,1,"Salaries, Wages and Fringe Benefits","1,502,586","1,559,300","1,711,237"
T00,A00,Office of the Secretary,1,Office of the Secretary,2,Technical and Special Fees,"96,619","27,978","29,302"
T00,A00,Office of the Secretary,1,Office of the Secretary,3,Communications,"8,666","13,707","13,707"
T00,A00,Office of the Secretary,1,Office of the Secretary,4,Travel,"26,143","59,840","59,840"
T00,A00,Office of the Secretary,1,Office of the Secretary,7,Motor Vehicle Operation and Maintenance,"26,734","15,123","15,125"
T00,A00,Office of the Secretary,1,Office of the Secretary,8,Contractual Services,"15,245","84,162","76,138"
T00,A00,Office of the Secretary,1,Office of the Secretary,9,Supplies and Materials,"3,852","8,100","8,100"
T00,A00,Office of the Secretary,1,Office of the Secretary,10,Equipment - Replacement,"4,868",,
T00,A00,Office of the Secretary,1,Office of the Secretary,12,"Grants, Subsidies, and Contributions","50,000",,
T00,A00,Office of the Secretary,1,Office of the Secretary,13,Fixed Charges,"2,456","4,347","4,377"
T00,A00,Office of the Secretary,2,Office of Policy and Research,1,"Salaries, Wages and Fringe Benefits","1,307,247","1,281,144","1,355,721"
T00,A00,Office of the Secretary,2,Office of Policy and Research,2,Technical and Special Fees,0,"46,238","46,238"
T00,A00,Office of the Secretary,2,Office of Policy and Research,3,Communications,"5,057","6,037","6,037"
T00,A00,Office of the Secretary,2,Office of Policy and Research,4,Travel,"2,556","12,817","12,817"
T00,A00,Office of the Secretary,2,Office of Policy and Research,7,Motor Vehicle Operation and Maintenance,"9,770","12,394","12,394"
T00,A00,Office of the Secretary,2,Office of Policy and Research,8,Contractual Services,"1,273","260,326","118,910"
T00,A00,Office of the Secretary,2,Office of Policy and Research,9,Supplies and Materials,0,"5,010","5,010"
T00,A00,Office of the Secretary,2,Office of Policy and Research,11,Equipment - Additional,90,,
T00,A00,Office of the Secretary,2,Office of Policy and Research,12,"Grants, Subsidies, and Contributions","1,000","1,000","1,000"
T00,A00,Office of the Secretary,2,Office of Policy and Research,13,Fixed Charges,"857,518","62,255","63,001"
T00,A00,Office of the Secretary,3,Office of the Attorney General,1,"Salaries, Wages and Fringe Benefits","1,353,402","1,548,128","1,803,669"
T00,A00,Office of the Secretary,3,Office of the Attorney General,3,Communications,"1,667","4,300","4,300"
T00,A00,Office of the Secretary,3,Office of the Attorney General,4,Travel,"2,857","1,736","1,736"
T00,A00,Office of the Secretary,3,Office of the Attorney General,7,Motor Vehicle Operation and Maintenance,"22,047","13,400","13,400"
T00,A00,Office of the Secretary,3,Office of the Attorney General,8,Contractual Services,"42,299","50,839","50,639"
T00,A00,Office of the Secretary,3,Office of the Attorney General,9,Supplies and Materials,"3,886","7,450","7,450"
T00,A00,Office of the Secretary,3,Office of the Attorney General,10,Equipment - Replacement,920,,
T00,A00,Office of the Secretary,3,Office of the Attorney General,13,Fixed Charges,"3,277","7,979","7,997"
T00,A00,Office of the Secretary,8,Division of Administration and Technology,1,"Salaries, Wages and Fringe Benefits","3,510,960","3,602,859","3,843,233"
T00,A00,Office of the Secretary,8,Division of Administration and Technology,2,Technical and Special Fees,"4,995",,
T00,A00,Office of the Secretary,8,Division of Administration and Technology,3,Communications,"34,182","22,279","18,279"
T00,A00,Office of the Secretary,8,Division of Administration and Technology,4,Travel,"1,086","16,410","16,120"
T00,A00,Office of the Secretary,8,Division of Administration and Technology,6,Fuel and Utilities,,105,105
T00,A00,Office of the Secretary,8,Division of Administration and Technology,7,Motor Vehicle Operation and Maintenance,"49,110","201,025","151,173"
T00,A00,Office of the Secretary,8,Division of Administration and Technology,8,Contractual Services,"1,521,058","1,680,031","1,791,596"
T00,A00,Office of the Secretary,8,Division of Administration and Technology,9,Supplies and Materials,"24,791","18,770","18,770"
T00,A00,Office of the Secretary,8,Division of Administration and Technology,10,Equipment - Replacement,"8,249",,
T00,A00,Office of the Secretary,8,Division of Administration and Technology,13,Fixed Charges,"1,480,175","1,458,913","1,378,913"
T00,A00,Office of the Secretary,10,Maryland Marketing Partnership,2,Technical and Special Fees,"90,874",,
T00,A00,Office of the Secretary,10,Maryland Marketing Partnership,3,Communications,197,500,500
T00,A00,Office of the Secretary,10,Maryland Marketing Partnership,4,Travel,"5,254",,
T00,A00,Office of the Secretary,10,Maryland Marketing Partnership,7,Motor Vehicle Operation and Maintenance,"2,280",,
T00,A00,Office of the Secretary,10,Maryland Marketing Partnership,8,Contractual Services,"1,941,095","2,500,000","2,500,000"
T00,A00,Office of the Secretary,10,Maryland Marketing Partnership,9,Supplies and Materials,"1,070",,
T00,A00,Office of the Secretary,10,Maryland Marketing Partnership,12,"Grants, Subsidies, and Contributions","110,000",,
T00,A00,Office of the Secretary,10,Maryland Marketing Partnership,13,Fixed Charges,"2,769",450,450
T00,F00,Division of Business and Industry Sector Development,1,Managing Director of Business and Industry Sector Development,1,"Salaries, Wages and Fringe Benefits","1,047,009","837,992","868,855"
T00,F00,Division of Business and Industry Sector Development,1,Managing Director of Business and Industry Sector Development,2,Technical and Special Fees,"47,895",,
T00,F00,Division of Business and Industry Sector Development,1,Managing Director of Business and Industry Sector Development,3,Communications,"3,329","3,800","3,800"
T00,F00,Division of Business and Industry Sector Development,1,Managing Director of Business and Industry Sector Development,4,Travel,"7,196","18,910","18,910"
T00,F00,Division of Business and Industry Sector Development,1,Managing Director of Business and Industry Sector Development,7,Motor Vehicle Operation and Maintenance,0,"2,640","2,640"
T00,F00,Division of Business and Industry Sector Development,1,Managing Director of Business and Industry Sector Development,8,Contractual Services,"6,677","5,075","5,075"
T00,F00,Division of Business and Industry Sector Development,1,Managing Director of Business and Industry Sector Development,9,Supplies and Materials,728,"1,700","1,700"
T00,F00,Division of Business and Industry Sector Development,1,Managing Director of Business and Industry Sector Development,13,Fixed Charges,"2,693","1,000","1,000"
T00,F00,Division of Business and Industry Sector Development,3,Maryland Small Business Development Financing Authority,8,Contractual Services,"1,749,044","2,509,675","2,509,675"
T00,F00,Division of Business and Industry Sector Development,3,Maryland Small Business Development Financing Authority,9,Supplies and Materials,0,"20,000","20,000"
T00,F00,Division of Business and Industry Sector Development,3,Maryland Small Business Development Financing Authority,12,"Grants, Subsidies, and Contributions",0,"13,700","13,700"
T00,F00,Division of Business and Industry Sector Development,3,Maryland Small Business Development Financing Authority,13,Fixed Charges,0,"5,000","5,000"
T00,F00,Division of Business and Industry Sector Development,4,Office of Business Development,1,"Salaries, Wages and Fringe Benefits","2,620,453","2,595,746","3,171,423"
T00,F00,Division of Business and Industry Sector Development,4,Office of Business Development,3,Communications,"7,568","16,770","16,770"
T00,F00,Division of Business and Industry Sector Development,4,Office of Business Development,4,Travel,"87,334","88,207","86,207"
T00,F00,Division of Business and Industry Sector Development,4,Office of Business Development,7,Motor Vehicle Operation and Maintenance,"23,697","20,627","16,627"
T00,F00,Division of Business and Industry Sector Development,4,Office of Business Development,8,Contractual Services,"2,004","74,316","69,316"
T00,F00,Division of Business and Industry Sector Development,4,Office of Business Development,9,Supplies and Materials,"1,702","2,600","2,600"
T00,F00,Division of Business and Industry Sector Development,4,Office of Business Development,11,Equipment - Additional,"2,243",,
T00,F00,Division of Business and Industry Sector Development,4,Office of Business Development,12,"Grants, Subsidies, and Contributions","2,691,360","42,234,374","1,184,374"
T00,F00,Division of Business and Industry Sector Development,4,Office of Business Development,13,Fixed Charges,"9,148","11,930","11,930"
T00,F00,Division of Business and Industry Sector Development,5,Office of Strategic Industries and Entrepreneurship,1,"Salaries, Wages and Fringe Benefits","1,550,348","1,749,033","2,087,141"
T00,F00,Division of Business and Industry Sector Development,5,Office of Strategic Industries and Entrepreneurship,2,Technical and Special Fees,"289,337","286,149","117,449"
T00,F00,Division of Business and Industry Sector Development,5,Office of Strategic Industries and Entrepreneurship,3,Communications,"16,472","20,073","18,073"
T00,F00,Division of Business and Industry Sector Development,5,Office of Strategic Industries and Entrepreneurship,4,Travel,"98,251","114,150","110,150"
T00,F00,Division of Business and Industry Sector Development,5,Office of Strategic Industries and Entrepreneurship,7,Motor Vehicle Operation and Maintenance,"32,479","18,655","18,656"
T00,F00,Division of Business and Industry Sector Development,5,Office of Strategic Industries and Entrepreneurship,8,Contractual Services,"167,148","422,970","422,970"
T00,F00,Division of Business and Industry Sector Development,5,Office of Strategic Industries and Entrepreneurship,9,Supplies and Materials,39,"6,700","6,700"
T00,F00,Division of Business and Industry Sector Development,5,Office of Strategic Industries and Entrepreneurship,11,Equipment - Additional,"5,038",,
T00,F00,Division of Business and Industry Sector Development,5,Office of Strategic Industries and Entrepreneurship,12,"Grants, Subsidies, and Contributions","4,579,888","12,195,339","11,945,339"
T00,F00,Division of Business and Industry Sector Development,5,Office of Strategic Industries and Entrepreneurship,13,Fixed Charges,"13,794","11,370","11,370"
T00,F00,Division of Business and Industry Sector Development,7,Partnership for Workforce Quality,12,"Grants, Subsidies, and Contributions","993,579","1,000,000","1,000,000"
T00,F00,Division of Business and Industry Sector Development,8,Office of Finance Programs,1,"Salaries, Wages and Fringe Benefits","3,431,387","3,880,240","4,097,958"
T00,F00,Division of Business and Industry Sector Development,8,Office of Finance Programs,2,Technical and Special Fees,"91,105","117,975","117,975"
T00,F00,Division of Business and Industry Sector Development,8,Office of Finance Programs,3,Communications,"8,569","14,856","14,856"
T00,F00,Division of Business and Industry Sector Development,8,Office of Finance Programs,4,Travel,"12,308","32,495","32,495"
T00,F00,Division of Business and Industry Sector Development,8,Office of Finance Programs,7,Motor Vehicle Operation and Maintenance,"27,318","24,000","24,000"
T00,F00,Division of Business and Industry Sector Development,8,Office of Finance Programs,8,Contractual Services,"579,823","276,940","276,940"
T00,F00,Division of Business and Industry Sector Development,8,Office of Finance Programs,9,Supplies and Materials,"1,173","26,000","26,000"
T00,F00,Division of Business and Industry Sector Development,8,Office of Finance Programs,10,Equipment - Replacement,"2,983","24,900","24,900"
T00,F00,Division of Business and Industry Sector Development,8,Office of Finance Programs,12,"Grants, Subsidies, and Contributions","5,000",,
T00,F00,Division of Business and Industry Sector Development,8,Office of Finance Programs,13,Fixed Charges,"3,736","22,175","22,175"
T00,F00,Division of Business and Industry Sector Development,9,Maryland Small Business Development Financing Authority (MSBDFA),14,Land and Structures,"7,134,982","12,360,000","19,360,000"
T00,F00,Division of Business and Industry Sector Development,10,Office of International Investment and Trade,1,"Salaries, Wages and Fringe Benefits","1,373,028","1,180,495","1,343,580"
T00,F00,Division of Business and Industry Sector Development,10,Office of International Investment and Trade,2,Technical and Special Fees,"40,028","150,000",0
T00,F00,Division of Business and Industry Sector Development,10,Office of International Investment and Trade,3,Communications,"9,690","18,800","16,800"
T00,F00,Division of Business and Industry Sector Development,10,Office of International Investment and Trade,4,Travel,"424,166","167,300","158,300"
T00,F00,Division of Business and Industry Sector Development,10,Office of International Investment and Trade,7,Motor Vehicle Operation and Maintenance,"2,835","1,600","1,600"
T00,F00,Division of Business and Industry Sector Development,10,Office of International Investment and Trade,8,Contractual Services,"2,293,245","1,752,642","1,873,642"
T00,F00,Division of Business and Industry Sector Development,10,Office of International Investment and Trade,9,Supplies and Materials,"15,388","61,400","61,400"
T00,F00,Division of Business and Industry Sector Development,10,Office of International Investment and Trade,10,Equipment - Replacement,"3,585",,
T00,F00,Division of Business and Industry Sector Development,10,Office of International Investment and Trade,11,Equipment - Additional,"5,751",,
T00,F00,Division of Business and Industry Sector Development,10,Office of International Investment and Trade,12,"Grants, Subsidies, and Contributions","1,813,767","1,760,000","2,005,000"
T00,F00,Division of Business and Industry Sector Development,10,Office of International Investment and Trade,13,Fixed Charges,"10,575","14,729","14,803"
T00,F00,Division of Business and Industry Sector Development,11,Maryland Not-For-Profit Development Fund,12,"Grants, Subsidies, and Contributions",0,"150,000","150,000"
T00,F00,Division of Business and Industry Sector Development,11,Maryland Not-For-Profit Development Fund,14,Land and Structures,"435,000","300,000","300,000"
T00,F00,Division of Business and Industry Sector Development,12,Maryland Biotechnology Investment Tax Credit Reserve Fund,12,"Grants, Subsidies, and Contributions","12,000,000","12,000,000","12,000,000"
T00,F00,Division of Business and Industry Sector Development,13,Office of Military Affairs and Federal Affairs,1,"Salaries, Wages and Fringe Benefits","361,234","558,226","585,110"
T00,F00,Division of Business and Industry Sector Development,13,Office of Military Affairs and Federal Affairs,2,Technical and Special Fees,"221,205","277,281","277,660"
T00,F00,Division of Business and Industry Sector Development,13,Office of Military Affairs and Federal Affairs,3,Communications,"2,700","4,625","4,625"
T00,F00,Division of Business and Industry Sector Development,13,Office of Military Affairs and Federal Affairs,4,Travel,"19,526","17,725","17,725"
T00,F00,Division of Business and Industry Sector Development,13,Office of Military Affairs and Federal Affairs,7,Motor Vehicle Operation and Maintenance,"6,581","8,360","8,360"
T00,F00,Division of Business and Industry Sector Development,13,Office of Military Affairs and Federal Affairs,8,Contractual Services,"25,152","96,490","96,490"
T00,F00,Division of Business and Industry Sector Development,13,Office of Military Affairs and Federal Affairs,9,Supplies and Materials,"1,505",500,500
T00,F00,Division of Business and Industry Sector Development,13,Office of Military Affairs and Federal Affairs,11,Equipment - Additional,"1,535",,
T00,F00,Division of Business and Industry Sector Development,13,Office of Military Affairs and Federal Affairs,12,"Grants, Subsidies, and Contributions","1,111,629","2,722,598","2,772,598"
T00,F00,Division of Business and Industry Sector Development,13,Office of Military Affairs and Federal Affairs,13,Fixed Charges,"2,204","2,510","2,510"
T00,F00,Division of Business and Industry Sector Development,15,"Small, Minority, and Women-Owned Businesses Account",12,"Grants, Subsidies, and Contributions","16,394,503","20,745,496","21,107,536"
T00,F00,Division of Business and Industry Sector Development,15,"Small, Minority, and Women-Owned Businesses Account",14,Land and Structures,"10,000",,
T00,F00,Division of Business and Industry Sector Development,16,Economic Development Opportunity Fund,14,Land and Structures,,"2,000,000",0
T00,F00,Division of Business and Industry Sector Development,18,Military Personnel and Service-Disabled Veteran Loan Program,14,Land and Structures,"112,000","300,000","300,000"
T00,F00,Division of Business and Industry Sector Development,19,Innovation Investment Incentive Tax Credit Program,12,"Grants, Subsidies, and Contributions",0,"2,000,000","2,000,000"
T00,F00,Division of Business and Industry Sector Development,20,Maryland E-Nnovation Initiative,12,"Grants, Subsidies, and Contributions","11,582,825",,
T00,F00,Division of Business and Industry Sector Development,20,Maryland E-Nnovation Initiative,14,Land and Structures,0,"8,500,000","8,500,000"
T00,F00,Division of Business and Industry Sector Development,21,Maryland Economic Adjustment Fund,14,Land and Structures,"200,000","1,000,000","700,000"
T00,F00,Division of Business and Industry Sector Development,23,Maryland Economic Development Assistance Authority and Fund (MEDAAF),12,"Grants, Subsidies, and Contributions","100,000","500,000","500,000"
T00,F00,Division of Business and Industry Sector Development,23,Maryland Economic Development Assistance Authority and Fund (MEDAAF),14,Land and Structures,"15,934,350","17,000,000","17,000,000"
T00,F00,Division of Business and Industry Sector Development,24,More Jobs For Marylanders Tax Credit Reserve Fund,12,"Grants, Subsidies, and Contributions","30,030,530","33,971,753","37,500,000"
T00,F00,Division of Business and Industry Sector Development,27,Business Telework Assistance Grant Program,12,"Grants, Subsidies, and Contributions","977,090","1,000,000","1,000,000"
T00,F00,Division of Business and Industry Sector Development,28,Non-Profit Shared Services Support Program,14,Land and Structures,"5,000,000",,
T00,F00,Division of Business and Industry Sector Development,29,Rural Maryland Economic Development Program,12,"Grants, Subsidies, and Contributions","50,000,000",0,
T00,F00,Division of Business and Industry Sector Development,30,Regional Institution Strategic Enterprise Zone Program,12,"Grants, Subsidies, and Contributions",0,"750,000","750,000"
T00,F00,Division of Business and Industry Sector Development,31,Child Care Capital Support Revolving Loan Fund – Capital Appropriation,14,Land and Structures,"10,459,936","10,000,000",0
T00,F00,Division of Business and Industry Sector Development,32,Western Maryland Economic Future Investment Program - Capital Appropriation,12,"Grants, Subsidies, and Contributions","20,000,000",,
T00,F00,Division of Business and Industry Sector Development,32,Western Maryland Economic Future Investment Program - Capital Appropriation,14,Land and Structures,0,"10,000,000","10,000,000"
T00,F00,Division of Business and Industry Sector Development,33,Maryland New Start Microloan Program,12,"Grants, Subsidies, and Contributions",,"300,000","300,000"
T00,G00,"Division of  Marketing, Tourism, and the Arts",1,Office of the Assistant Secretary,1,"Salaries, Wages and Fringe Benefits","368,737","340,966","348,180"
T00,G00,"Division of  Marketing, Tourism, and the Arts",1,Office of the Assistant Secretary,3,Communications,"1,440",,
T00,G00,"Division of  Marketing, Tourism, and the Arts",1,Office of the Assistant Secretary,4,Travel,"7,045","1,524","1,524"
T00,G00,"Division of  Marketing, Tourism, and the Arts",1,Office of the Assistant Secretary,7,Motor Vehicle Operation and Maintenance,"1,431","1,000","1,000"
T00,G00,"Division of  Marketing, Tourism, and the Arts",1,Office of the Assistant Secretary,8,Contractual Services,0,"30,500","30,500"
T00,G00,"Division of  Marketing, Tourism, and the Arts",1,Office of the Assistant Secretary,9,Supplies and Materials,"13,766",850,850
T00,G00,"Division of  Marketing, Tourism, and the Arts",1,Office of the Assistant Secretary,13,Fixed Charges,0,"1,000","1,000"
T00,G00,"Division of  Marketing, Tourism, and the Arts",2,Office of Tourism Development,1,"Salaries, Wages and Fringe Benefits","2,741,516","2,941,867","3,227,495"
T00,G00,"Division of  Marketing, Tourism, and the Arts",2,Office of Tourism Development,2,Technical and Special Fees,"713,521","847,862","721,650"
T00,G00,"Division of  Marketing, Tourism, and the Arts",2,Office of Tourism Development,3,Communications,"49,515","41,226","41,226"
T00,G00,"Division of  Marketing, Tourism, and the Arts",2,Office of Tourism Development,4,Travel,"74,865","114,533","109,533"
T00,G00,"Division of  Marketing, Tourism, and the Arts",2,Office of Tourism Development,6,Fuel and Utilities,"16,709","13,330","13,330"
T00,G00,"Division of  Marketing, Tourism, and the Arts",2,Office of Tourism Development,7,Motor Vehicle Operation and Maintenance,"30,771","29,350","29,350"
T00,G00,"Division of  Marketing, Tourism, and the Arts",2,Office of Tourism Development,8,Contractual Services,"229,038","228,329","228,329"
T00,G00,"Division of  Marketing, Tourism, and the Arts",2,Office of Tourism Development,9,Supplies and Materials,"14,730","37,444","33,444"
T00,G00,"Division of  Marketing, Tourism, and the Arts",2,Office of Tourism Development,10,Equipment - Replacement,"6,172",,
T00,G00,"Division of  Marketing, Tourism, and the Arts",2,Office of Tourism Development,11,Equipment - Additional,"3,562",,
T00,G00,"Division of  Marketing, Tourism, and the Arts",2,Office of Tourism Development,12,"Grants, Subsidies, and Contributions","15,664,379","2,612,000","2,362,000"
