Agency Code,Unit Code,Unit Name,Program Code,Program Name,Object Code,Object Name,FY 2023 Budget Book Actuals,FY 2024 Budget Book Working,FY 2025 Governors Allowance
E00,A01,Office of the Comptroller,1,Executive Direction,1,"Salaries, Wages and Fringe Benefits","4,332,768","4,654,153","4,501,883"
E00,A01,Office of the Comptroller,1,Executive Direction,2,Technical and Special Fees,"25,678","37,466","40,233"
E00,A01,Office of the Comptroller,1,Executive Direction,3,Communications,"4,024","3,765","4,000"
E00,A01,Office of the Comptroller,1,Executive Direction,4,Travel,"20,798","19,896","20,030"
E00,A01,Office of the Comptroller,1,Executive Direction,7,Motor Vehicle Operation and Maintenance,"47,865","11,000","12,060"
E00,A01,Office of the Comptroller,1,Executive Direction,8,Contractual Services,"930,637","972,203","1,595,174"
E00,A01,Office of the Comptroller,1,Executive Direction,9,Supplies and Materials,"30,595","35,592","35,592"
E00,A01,Office of the Comptroller,1,Executive Direction,10,Equipment - Replacement,"5,867","3,221","3,221"
E00,A01,Office of the Comptroller,1,Executive Direction,13,Fixed Charges,"58,040","35,294","62,352"
E00,A01,Office of the Comptroller,1,Executive Direction,14,Land and Structures,"63,831",,
E00,A01,Office of the Comptroller,2,Financial and Support Services,1,"Salaries, Wages and Fringe Benefits","3,677,529","3,849,527","4,130,728"
E00,A01,Office of the Comptroller,2,Financial and Support Services,2,Technical and Special Fees,"5,944",882,"38,702"
E00,A01,Office of the Comptroller,2,Financial and Support Services,3,Communications,"2,301,092","2,603,150","2,602,852"
E00,A01,Office of the Comptroller,2,Financial and Support Services,4,Travel,"25,614","5,265","9,823"
E00,A01,Office of the Comptroller,2,Financial and Support Services,7,Motor Vehicle Operation and Maintenance,"13,088",,
E00,A01,Office of the Comptroller,2,Financial and Support Services,8,Contractual Services,"548,220","598,820","634,950"
E00,A01,Office of the Comptroller,2,Financial and Support Services,9,Supplies and Materials,"267,929","281,294","281,294"
