Agency Code,Unit Code,Unit Name,Program Code,Program Name,Object Code,Object Name,FY 2023 Budget Book Actuals,FY 2024 Budget Book Working,FY 2025 Governors Allowance
R00,A01,State Department of Education - Headquarters,1,Office of the State Superintendent,1,"Salaries, Wages and Fringe Benefits","14,896,089","15,529,654","16,226,096"
R00,A01,State Department of Education - Headquarters,1,Office of the State Superintendent,2,Technical and Special Fees,"867,748","1,329,349","1,483,697"
R00,A01,State Department of Education - Headquarters,1,Office of the State Superintendent,3,Communications,"6,810","73,333","213,665"
R00,A01,State Department of Education - Headquarters,1,Office of the State Superintendent,4,Travel,"160,216","140,634","204,004"
R00,A01,State Department of Education - Headquarters,1,Office of the State Superintendent,7,Motor Vehicle Operation and Maintenance,"1,063,250","177,572",744
R00,A01,State Department of Education - Headquarters,1,Office of the State Superintendent,8,Contractual Services,"35,651,998","55,509,691","57,252,974"
R00,A01,State Department of Education - Headquarters,1,Office of the State Superintendent,9,Supplies and Materials,"53,154","84,517","253,400"
R00,A01,State Department of Education - Headquarters,1,Office of the State Superintendent,10,Equipment - Replacement,"356,422","16,176","70,225"
R00,A01,State Department of Education - Headquarters,1,Office of the State Superintendent,11,Equipment - Additional,"27,305","22,800",0
R00,A01,State Department of Education - Headquarters,1,Office of the State Superintendent,12,"Grants, Subsidies, and Contributions","23,525,948","283,800","283,800"
R00,A01,State Department of Education - Headquarters,1,Office of the State Superintendent,13,Fixed Charges,"863,171","917,725","1,338,356"
R00,A01,State Department of Education - Headquarters,2,Office of the Chief of Staff,1,"Salaries, Wages and Fringe Benefits","279,128","265,332","768,479"
R00,A01,State Department of Education - Headquarters,2,Office of the Chief of Staff,2,Technical and Special Fees,0,"1,500","22,643"
R00,A01,State Department of Education - Headquarters,2,Office of the Chief of Staff,3,Communications,6,"1,046","3,590"
R00,A01,State Department of Education - Headquarters,2,Office of the Chief of Staff,4,Travel,264,"1,000","4,489"
R00,A01,State Department of Education - Headquarters,2,Office of the Chief of Staff,7,Motor Vehicle Operation and Maintenance,0,"3,316",0
R00,A01,State Department of Education - Headquarters,2,Office of the Chief of Staff,8,Contractual Services,"72,250","50,572","50,820"
R00,A01,State Department of Education - Headquarters,2,Office of the Chief of Staff,9,Supplies and Materials,0,500,"1,000"
R00,A01,State Department of Education - Headquarters,2,Office of the Chief of Staff,12,"Grants, Subsidies, and Contributions","-4,813",0,
R00,A01,State Department of Education - Headquarters,2,Office of the Chief of Staff,13,Fixed Charges,0,"3,440","11,756"
R00,A01,State Department of Education - Headquarters,3,Office of the Deputy for Teaching and Learning,1,"Salaries, Wages and Fringe Benefits","16,634,779","18,840,530","22,726,265"
R00,A01,State Department of Education - Headquarters,3,Office of the Deputy for Teaching and Learning,2,Technical and Special Fees,"2,012,151","4,146,862","1,729,481"
R00,A01,State Department of Education - Headquarters,3,Office of the Deputy for Teaching and Learning,3,Communications,"8,318","73,266","245,853"
R00,A01,State Department of Education - Headquarters,3,Office of the Deputy for Teaching and Learning,4,Travel,"139,854","280,380","640,429"
R00,A01,State Department of Education - Headquarters,3,Office of the Deputy for Teaching and Learning,7,Motor Vehicle Operation and Maintenance,"8,696","255,627","7,860"
R00,A01,State Department of Education - Headquarters,3,Office of the Deputy for Teaching and Learning,8,Contractual Services,"1,290,216","2,138,254","5,696,592"
R00,A01,State Department of Education - Headquarters,3,Office of the Deputy for Teaching and Learning,9,Supplies and Materials,"181,813","340,716","170,849"
R00,A01,State Department of Education - Headquarters,3,Office of the Deputy for Teaching and Learning,10,Equipment - Replacement,"37,797","41,840","30,199"
R00,A01,State Department of Education - Headquarters,3,Office of the Deputy for Teaching and Learning,11,Equipment - Additional,"8,911",90,0
R00,A01,State Department of Education - Headquarters,3,Office of the Deputy for Teaching and Learning,12,"Grants, Subsidies, and Contributions","4,782,085","9,618,712","4,937,125"
R00,A01,State Department of Education - Headquarters,3,Office of the Deputy for Teaching and Learning,13,Fixed Charges,"267,547","486,292","1,349,249"
