Agency Code,Unit Code,Unit Name,Program Code,Program Name,Object Code,Object Name,FY 2023 Budget Book Actuals,FY 2024 Budget Book Working,FY 2025 Governors Allowance
M00,A01,Office of the Secretary,1,Executive Direction,1,"Salaries, Wages and Fringe Benefits","13,336,346","18,610,071","21,635,172"
M00,A01,Office of the Secretary,1,Executive Direction,2,Technical and Special Fees,"3,257,671","5,435,123","5,935,166"
M00,A01,Office of the Secretary,1,Executive Direction,3,Communications,"101,226","216,666","239,929"
M00,A01,Office of the Secretary,1,Executive Direction,4,Travel,"62,949","167,884","192,301"
M00,A01,Office of the Secretary,1,Executive Direction,7,Motor Vehicle Operation and Maintenance,"4,390","4,773","8,222"
M00,A01,Office of the Secretary,1,Executive Direction,8,Contractual Services,"4,192,169","3,214,193","15,032,448"
M00,A01,Office of the Secretary,1,Executive Direction,9,Supplies and Materials,"3,793,346","3,876,223","114,583"
M00,A01,Office of the Secretary,1,Executive Direction,10,Equipment - Replacement,"12,765","63,147","54,437"
M00,A01,Office of the Secretary,1,Executive Direction,11,Equipment - Additional,,"9,579","9,579"
M00,A01,Office of the Secretary,1,Executive Direction,12,"Grants, Subsidies, and Contributions","106,723,849","84,555,556","100,364,404"
M00,A01,Office of the Secretary,1,Executive Direction,13,Fixed Charges,"193,934","565,891","556,564"
M00,A01,Office of the Secretary,2,Operations,1,"Salaries, Wages and Fringe Benefits","25,811,884","30,869,905","31,320,837"
M00,A01,Office of the Secretary,2,Operations,2,Technical and Special Fees,"1,026,883","1,936,419","1,988,944"
M00,A01,Office of the Secretary,2,Operations,3,Communications,"1,409,682","877,416","997,994"
M00,A01,Office of the Secretary,2,Operations,4,Travel,"62,645","95,274","110,116"
M00,A01,Office of the Secretary,2,Operations,6,Fuel and Utilities,"188,669","211,596","211,581"
M00,A01,Office of the Secretary,2,Operations,7,Motor Vehicle Operation and Maintenance,"92,427","64,479","59,978"
M00,A01,Office of the Secretary,2,Operations,8,Contractual Services,"33,916,977","19,276,552","51,186,097"
M00,A01,Office of the Secretary,2,Operations,9,Supplies and Materials,"106,196","265,802","187,348"
M00,A01,Office of the Secretary,2,Operations,10,Equipment - Replacement,"964,497","474,078","1,628,825"
M00,A01,Office of the Secretary,2,Operations,11,Equipment - Additional,"112,844","273,872","273,872"
M00,A01,Office of the Secretary,2,Operations,12,"Grants, Subsidies, and Contributions","93,521","90,089","92,077"
M00,A01,Office of the Secretary,2,Operations,13,Fixed Charges,"2,301,920","2,249,227","2,277,333"
M00,A01,Office of the Secretary,2,Operations,14,Land and Structures,"7,352,296","16,171,468","12,000,000"
M00,A01,Office of the Secretary,7,MDH Hospital System,1,"Salaries, Wages and Fringe Benefits","11,986,149","12,842,988","13,803,555"
M00,A01,Office of the Secretary,7,MDH Hospital System,2,Technical and Special Fees,"263,026","500,496","474,487"
M00,A01,Office of the Secretary,7,MDH Hospital System,3,Communications,"37,543","45,975","35,282"
M00,A01,Office of the Secretary,7,MDH Hospital System,4,Travel,"2,780","7,542","8,673"
M00,A01,Office of the Secretary,7,MDH Hospital System,7,Motor Vehicle Operation and Maintenance,"47,165","202,539","243,699"
M00,A01,Office of the Secretary,7,MDH Hospital System,8,Contractual Services,"463,395","399,658","467,105"
M00,A01,Office of the Secretary,7,MDH Hospital System,9,Supplies and Materials,"3,160","36,407","44,420"
M00,A01,Office of the Secretary,7,MDH Hospital System,10,Equipment - Replacement,"1,111",,"41,447"
M00,A01,Office of the Secretary,7,MDH Hospital System,11,Equipment - Additional,0,"50,871","10,764"
M00,A01,Office of the Secretary,7,MDH Hospital System,13,Fixed Charges,"46,330","59,758","86,882"
M00,A01,Office of the Secretary,8,Major Information Technology Development Projects,8,Contractual Services,"7,047,170","1,905,408",0
M00,A01,Office of the Secretary,8,Major Information Technology Development Projects,9,Supplies and Materials,"1,148",,
M00,A01,Office of the Secretary,8,Major Information Technology Development Projects,10,Equipment - Replacement,"37,726",,
M00,A01,Office of the Secretary,8,Major Information Technology Development Projects,11,Equipment - Additional,"167,142",,
M00,A01,Office of the Secretary,8,Major Information Technology Development Projects,13,Fixed Charges,"1,970",,
M00,B01,Regulatory Services,3,Office of Health Care Quality,1,"Salaries, Wages and Fringe Benefits","25,809,044","29,478,421","32,842,317"
M00,B01,Regulatory Services,3,Office of Health Care Quality,2,Technical and Special Fees,"701,342","573,162","391,646"
M00,B01,Regulatory Services,3,Office of Health Care Quality,3,Communications,"294,268","267,433","276,027"
M00,B01,Regulatory Services,3,Office of Health Care Quality,4,Travel,"379,188","168,418","240,242"
M00,B01,Regulatory Services,3,Office of Health Care Quality,6,Fuel and Utilities,0,"1,873","1,873"
M00,B01,Regulatory Services,3,Office of Health Care Quality,7,Motor Vehicle Operation and Maintenance,"133,029","123,380","243,504"
M00,B01,Regulatory Services,3,Office of Health Care Quality,8,Contractual Services,"143,828","66,214","4,026,693"
M00,B01,Regulatory Services,3,Office of Health Care Quality,9,Supplies and Materials,"40,409","41,052","38,959"
