Agency Code,Unit Code,Unit Name,Program Code,Program Name,Object Code,Object Name,FY 2023 Budget Book Actuals,FY 2024 Budget Book Working,FY 2025 Governors Allowance
J00,A01,The Secretary's Office,1,Executive Direction,1,"Salaries, Wages and Fringe Benefits","28,832,174","29,983,563","30,192,029"
J00,A01,The Secretary's Office,1,Executive Direction,2,Technical and Special Fees,"555,921","1,206,768","1,100,976"
J00,A01,The Secretary's Office,1,Executive Direction,3,Communications,"1,021","25,175","25,175"
J00,A01,The Secretary's Office,1,Executive Direction,4,Travel,"119,970","154,777","18,627"
J00,A01,The Secretary's Office,1,Executive Direction,6,Fuel and Utilities,"171,685","183,053","188,494"
J00,A01,The Secretary's Office,1,Executive Direction,7,Motor Vehicle Operation and Maintenance,"81,607","48,487","48,325"
J00,A01,The Secretary's Office,1,Executive Direction,8,Contractual Services,"5,031,404","5,585,056","3,967,662"
J00,A01,The Secretary's Office,1,Executive Direction,9,Supplies and Materials,"147,011","225,759","346,260"
J00,A01,The Secretary's Office,1,Executive Direction,10,Equipment - Replacement,"25,590","12,018","12,018"
J00,A01,The Secretary's Office,1,Executive Direction,11,Equipment - Additional,"21,619","14,615","69,982"
J00,A01,The Secretary's Office,1,Executive Direction,12,"Grants, Subsidies, and Contributions","82,969","93,002","90,002"
J00,A01,The Secretary's Office,1,Executive Direction,13,Fixed Charges,"190,139","284,463","362,730"
J00,A01,The Secretary's Office,2,Operating Grants-In-Aid,12,"Grants, Subsidies, and Contributions","15,196,224","20,282,311","18,819,269"
J00,A01,The Secretary's Office,3,Facilities and Capital Equipment,1,"Salaries, Wages and Fringe Benefits","1,995,108","2,059,996","2,124,892"
J00,A01,The Secretary's Office,3,Facilities and Capital Equipment,2,Technical and Special Fees,"5,013,312","7,495,575","4,967,390"
J00,A01,The Secretary's Office,3,Facilities and Capital Equipment,3,Communications,"4,007",,
J00,A01,The Secretary's Office,3,Facilities and Capital Equipment,4,Travel,"11,078","16,131","16,131"
J00,A01,The Secretary's Office,3,Facilities and Capital Equipment,7,Motor Vehicle Operation and Maintenance,0,"40,000",0
